feature_a,feature_b,abs_corr,kept_feature,kept_iv,dropped_feature,dropped_iv,reason
HR,HR_deviation_from_normal,1.0,HR,0.12880857393150785,HR_deviation_from_normal,0.12880857393150785,abs_corr>=0.8; retained higher IV
HR,HR_min_6h,0.8782445261128673,HR_min_6h,0.14008690477646407,HR,0.12880857393150785,abs_corr>=0.8; retained higher IV
DBP_avg_6h,DBP_min_6h,0.8723809471236772,DBP_min_6h,0.041013532310952595,DBP_avg_6h,0.020944343425205084,abs_corr>=0.8; retained higher IV
shock_index,shock_index_max_6h,0.868521975440215,shock_index_max_6h,0.11190127232859058,shock_index,0.08919945663283407,abs_corr>=0.8; retained higher IV
Resp_avg_6h,Resp_max_6h,0.8670150551513535,Resp_avg_6h,0.20605062087366122,Resp_max_6h,0.18937850578547635,abs_corr>=0.8; retained higher IV
O2Sat_min_6h,O2Sat_std_6h,0.8653886102091128,O2Sat_min_6h,0.06117664161655745,O2Sat_std_6h,0.032377538366214806,abs_corr>=0.8; retained higher IV
Temp,Temp_max_6h,0.8585888788649108,Temp_max_6h,0.32558615940838703,Temp,0.25434141957325723,abs_corr>=0.8; retained higher IV
pH_drift_from_normal_6h,PaCO2_drift_from_normal_6h,0.8535687446856646,pH_drift_from_normal_6h,0.15247647943626266,PaCO2_drift_from_normal_6h,0.0835325366872513,abs_corr>=0.8; retained higher IV
pH_drift_from_normal,PaCO2_drift_from_normal,0.8491461540431586,PaCO2_drift_from_normal,0.018306854957568796,pH_drift_from_normal,0.017315402301062877,abs_corr>=0.8; retained higher IV
Resp_avg_6h,Resp_min_6h,0.8436234236855027,Resp_avg_6h,0.20605062087366122,Resp_min_6h,0.1884317544097367,abs_corr>=0.8; retained higher IV
O2Sat_avg_6h,O2Sat_min_6h,0.8405431351551598,O2Sat_min_6h,0.06117664161655745,O2Sat_avg_6h,0.03539306933763444,abs_corr>=0.8; retained higher IV
early_warning_score_avg_6h,early_warning_score_min_6h,0.8362106829503873,early_warning_score_avg_6h,0.28561949140923204,early_warning_score_min_6h,0.22030371688222378,abs_corr>=0.8; retained higher IV
early_warning_score,early_warning_score_avg_6h,0.8170960080708187,early_warning_score_avg_6h,0.28561949140923204,early_warning_score,0.2156253116563781,abs_corr>=0.8; retained higher IV
HR_min_6h,HR_max_6h,0.8156663686542589,HR_max_6h,0.15235584469207492,HR_min_6h,0.14008690477646407,abs_corr>=0.8; retained higher IV
Resp,Resp_avg_6h,0.8152074435373616,Resp_avg_6h,0.20605062087366122,Resp,0.15269109081767138,abs_corr>=0.8; retained higher IV
shock_index_min_6h,shock_index_max_6h,0.8137091957493854,shock_index_max_6h,0.11190127232859058,shock_index_min_6h,0.10311129658941821,abs_corr>=0.8; retained higher IV
Hgb_drift_from_normal,Platelets_drift_from_normal,0.8066694718480636,Platelets_drift_from_normal,0.005923633801661932,Hgb_drift_from_normal,0.004978987420926634,abs_corr>=0.8; retained higher IV
SBP,SBP_max_6h,0.8036596939155921,SBP_max_6h,0.021437802367182585,SBP,0.014411449344946594,abs_corr>=0.8; retained higher IV
Hgb_drift_from_normal_6h,Platelets_drift_from_normal_6h,0.8028059978669144,Platelets_drift_from_normal_6h,0.055159213637383714,Hgb_drift_from_normal_6h,0.050508080702365156,abs_corr>=0.8; retained higher IV
