section,rank,name,category,iv,iv_strength,units,description
top_100_by_iv,37,Bilirubin_total,Raw,0.146934,Medium,,Total bilirubin
top_100_by_iv,38,Lactate_hours_since,Time-since-measurement (engineered),0.144902,Medium,,"hours since last measurement of this variable (-1 before first draw) of [Lactic acid; tissue hypoperfusion marker, classic sepsis biomarker]"
top_100_by_iv,39,Phosphate_baseline_dev,"Dynamic baseline deviation (engineered, causal CUSUM)",0.144189,Medium,,deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Serum phosphate]
top_100_by_iv,40,Bilirubin_total_baseline_dev,"Dynamic baseline deviation (engineered, causal CUSUM)",0.142696,Medium,,deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Total bilirubin]
top_100_by_iv,41,BaseExcess,Raw,0.141060,Medium,,Excess bicarbonate; deviation of buffer base from normal
top_100_by_iv,42,AST_baseline_dev,"Dynamic baseline deviation (engineered, causal CUSUM)",0.139551,Medium,,deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Aspartate aminotransferase (liver enzyme)]
top_100_by_iv,43,Temp_baseline_dev,"Dynamic baseline deviation (engineered, causal CUSUM)",0.137983,Medium,,deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Body temperature]
top_100_by_iv,44,PTT_baseline_dev,"Dynamic baseline deviation (engineered, causal CUSUM)",0.127649,Medium,,deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Partial thromboplastin time (clotting)]
top_100_by_iv,45,BUN_deviation_from_normal,Distance from normal range (engineered),0.125599,Medium,,signed distance from age/gender-stratified clinical normal-range midpoint of [Blood urea nitrogen (kidney function)]
top_100_by_iv,46,Resp_min_6h,Rolling 6h statistic (engineered),0.125252,Medium,,6h rolling min of [Respiration rate]
top_100_by_iv,47,Resp_max_6h,Rolling 6h statistic (engineered),0.125199,Medium,,6h rolling max of [Respiration rate]
top_100_by_iv,48,sepsis_screen_score_avg_6h,Rolling 6h statistic (engineered),0.124720,Medium,,6h rolling mean of [Modified qSOFA (0-2). Project-engineered. Sums Resp>=22 and SBP<=100. (GCS component omitted — not in dataset.)]
top_100_by_iv,49,Temp_baseline_dev_avg_6h,Rolling 6h statistic (engineered),0.123894,Medium,,6h rolling mean of [deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Body temperature]]
top_100_by_iv,50,HR_max_6h,Rolling 6h statistic (engineered),0.123063,Medium,,6h rolling max of [Heart rate]
top_100_by_iv,51,lactate_bp_ratio_max_6h,Rolling 6h statistic (engineered),0.123051,Medium,,6h rolling max of [Lactate / MAP. Project-engineered. High lactate with low MAP indicates shock.]
top_100_by_iv,52,lactate_bp_ratio_min_6h,Rolling 6h statistic (engineered),0.122376,Medium,,6h rolling min of [Lactate / MAP. Project-engineered. High lactate with low MAP indicates shock.]
top_100_by_iv,53,Lactate_deviation_from_normal,Distance from normal range (engineered),0.121716,Medium,,"signed distance from age/gender-stratified clinical normal-range midpoint of [Lactic acid; tissue hypoperfusion marker, classic sepsis biomarker]"
top_100_by_iv,54,Lactate,Raw,0.121716,Medium,,"Lactic acid; tissue hypoperfusion marker, classic sepsis biomarker"
top_100_by_iv,55,Temp_min_6h,Rolling 6h statistic (engineered),0.121064,Medium,,6h rolling min of [Body temperature]
top_100_by_iv,56,PTT_hours_since,Time-since-measurement (engineered),0.120700,Medium,,hours since last measurement of this variable (-1 before first draw) of [Partial thromboplastin time (clotting)]
top_100_by_iv,57,lactate_bp_ratio_avg_6h,Rolling 6h statistic (engineered),0.119373,Medium,,6h rolling mean of [Lactate / MAP. Project-engineered. High lactate with low MAP indicates shock.]
top_100_by_iv,58,BUN,Raw,0.119307,Medium,,Blood urea nitrogen (kidney function)
top_100_by_iv,59,lactate_bp_ratio,Clinical score (engineered),0.118101,Medium,,Lactate / MAP. Project-engineered. High lactate with low MAP indicates shock.
top_100_by_iv,60,Resp,Raw,0.116845,Medium,,Respiration rate
top_100_by_iv,61,inflammation_score_min_6h,Rolling 6h statistic (engineered),0.115160,Medium,,6h rolling min of [SIRS criteria count (0-4). Project-engineered. Sums 4 binary flags: Temp >38 or <36C; HR>90; Resp>20; WBC>12 or <4.]
top_100_by_iv,62,HR_avg_6h,Rolling 6h statistic (engineered),0.114213,Medium,,6h rolling mean of [Heart rate]
top_100_by_iv,63,HR,Raw,0.113903,Medium,,Heart rate
top_100_by_iv,64,HR_deviation_from_normal,Distance from normal range (engineered),0.113903,Medium,,signed distance from age/gender-stratified clinical normal-range midpoint of [Heart rate]
top_100_by_iv,65,Resp_deviation_from_normal,Distance from normal range (engineered),0.112622,Medium,,signed distance from age/gender-stratified clinical normal-range midpoint of [Respiration rate]
top_100_by_iv,66,Lactate_max_6h,Rolling 6h statistic (engineered),0.111677,Medium,,"6h rolling max of [Lactic acid; tissue hypoperfusion marker, classic sepsis biomarker]"
top_100_by_iv,67,Lactate_avg_6h,Rolling 6h statistic (engineered),0.111552,Medium,,"6h rolling mean of [Lactic acid; tissue hypoperfusion marker, classic sepsis biomarker]"
top_100_by_iv,68,Lactate_min_6h,Rolling 6h statistic (engineered),0.111037,Medium,,"6h rolling min of [Lactic acid; tissue hypoperfusion marker, classic sepsis biomarker]"
top_100_by_iv,69,SaO2,Raw,0.109281,Medium,,Oxygen saturation from arterial blood
top_100_by_iv,70,PTT,Raw,0.104191,Medium,,Partial thromboplastin time (clotting)
top_100_by_iv,71,SaO2_hours_since,Time-since-measurement (engineered),0.101048,Medium,,hours since last measurement of this variable (-1 before first draw) of [Oxygen saturation from arterial blood]
top_100_by_iv,72,Resp_baseline_dev_avg_6h,Rolling 6h statistic (engineered),0.099043,Weak,,6h rolling mean of [deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Respiration rate]]
top_100_by_iv,73,Temp_baseline_dev_min_6h,Rolling 6h statistic (engineered),0.097428,Weak,,6h rolling min of [deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Body temperature]]
top_100_by_iv,74,Phosphate_hours_since,Time-since-measurement (engineered),0.095791,Weak,,hours since last measurement of this variable (-1 before first draw) of [Serum phosphate]
top_100_by_iv,75,Creatinine_baseline_dev_min_6h,Rolling 6h statistic (engineered),0.094558,Weak,,6h rolling min of [deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Serum creatinine (kidney function)]]
top_100_by_iv,76,BaseExcess_hours_since,Time-since-measurement (engineered),0.094439,Weak,,hours since last measurement of this variable (-1 before first draw) of [Excess bicarbonate; deviation of buffer base from normal]
top_100_by_iv,77,BUN_baseline_dev,"Dynamic baseline deviation (engineered, causal CUSUM)",0.094201,Weak,,deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Blood urea nitrogen (kidney function)]
top_100_by_iv,78,HR_baseline_dev_avg_6h,Rolling 6h statistic (engineered),0.094025,Weak,,6h rolling mean of [deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Heart rate]]
top_100_by_iv,79,WBC_avg_6h,Rolling 6h statistic (engineered),0.089950,Weak,,6h rolling mean of [White blood cell count (immune response)]
top_100_by_iv,80,WBC_deviation_from_normal,Distance from normal range (engineered),0.089830,Weak,,signed distance from age/gender-stratified clinical normal-range midpoint of [White blood cell count (immune response)]
top_100_by_iv,81,HR_baseline_dev_max_6h,Rolling 6h statistic (engineered),0.089197,Weak,,6h rolling max of [deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Heart rate]]
top_100_by_iv,82,shock_index_max_6h,Rolling 6h statistic (engineered),0.089076,Weak,,6h rolling max of [HR / SBP. Project-engineered. Elevated values suggest hemodynamic instability.]
top_100_by_iv,83,Resp_baseline_dev_min_6h,Rolling 6h statistic (engineered),0.088675,Weak,,6h rolling min of [deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Respiration rate]]
top_100_by_iv,84,Phosphate,Raw,0.088545,Weak,,Serum phosphate
top_100_by_iv,85,HR_baseline_dev,"Dynamic baseline deviation (engineered, causal CUSUM)",0.088523,Weak,,deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Heart rate]
top_100_by_iv,86,HR_baseline_dev_min_6h,Rolling 6h statistic (engineered),0.087820,Weak,,6h rolling min of [deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Heart rate]]
top_100_by_iv,87,Creatinine_deviation_from_normal,Distance from normal range (engineered),0.087272,Weak,,signed distance from age/gender-stratified clinical normal-range midpoint of [Serum creatinine (kidney function)]
top_100_by_iv,88,WBC_max_6h,Rolling 6h statistic (engineered),0.087187,Weak,,6h rolling max of [White blood cell count (immune response)]
top_100_by_iv,89,shock_index,Clinical score (engineered),0.086830,Weak,,HR / SBP. Project-engineered. Elevated values suggest hemodynamic instability.
top_100_by_iv,90,WBC,Raw,0.086776,Weak,,White blood cell count (immune response)
top_100_by_iv,91,HR_min_6h,Rolling 6h statistic (engineered),0.084669,Weak,,6h rolling min of [Heart rate]
top_100_by_iv,92,shock_index_avg_6h,Rolling 6h statistic (engineered),0.083541,Weak,,6h rolling mean of [HR / SBP. Project-engineered. Elevated values suggest hemodynamic instability.]
top_100_by_iv,93,Calcium,Raw,0.080894,Weak,,Serum calcium
top_100_by_iv,94,HCO3_baseline_dev,"Dynamic baseline deviation (engineered, causal CUSUM)",0.080552,Weak,,deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Bicarbonate]
top_100_by_iv,95,Creatinine_baseline_dev_avg_6h,Rolling 6h statistic (engineered),0.080041,Weak,,6h rolling mean of [deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Serum creatinine (kidney function)]]
top_100_by_iv,96,Magnesium_baseline_dev,"Dynamic baseline deviation (engineered, causal CUSUM)",0.079349,Weak,,deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Serum magnesium]
top_100_by_iv,97,Resp_baseline_dev_max_6h,Rolling 6h statistic (engineered),0.079296,Weak,,6h rolling max of [deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [Respiration rate]]
top_100_by_iv,98,Magnesium,Raw,0.078202,Weak,,Serum magnesium
top_100_by_iv,99,WBC_baseline_dev_min_6h,Rolling 6h statistic (engineered),0.077644,Weak,,6h rolling min of [deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [White blood cell count (immune response)]]
top_100_by_iv,100,WBC_baseline_dev,"Dynamic baseline deviation (engineered, causal CUSUM)",0.077480,Weak,,deviation from causal CUSUM dynamic baseline (real-time changepoint detection over the patient's history so far) of [White blood cell count (immune response)]
